Date : 2025-12-18 15:55:01
Directory : /home/lennart-k-hler/projects/dolphin
Total : 566 files,  240691 codes, 33371 comments, 50841 blanks, all 324903 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C++              |        259 |    194,701 |     30,882 |     43,426 |    269,009 |
| Markdown         |         40 |     14,209 |          0 |      3,730 |     17,939 |
| JSON             |         36 |     12,152 |          0 |         47 |     12,199 |
| XML              |         44 |      5,005 |          2 |         25 |      5,032 |
| Makefile         |         25 |      2,936 |        937 |      1,168 |      5,041 |
| CMake            |         75 |      2,329 |          0 |        534 |      2,863 |
| CUDA C++         |          5 |      2,313 |        402 |        706 |      3,421 |
| YAML             |         15 |      1,991 |         73 |        123 |      2,187 |
| Objective-C++    |          7 |      1,820 |        430 |        417 |      2,667 |
| C                |          7 |      1,229 |        255 |        241 |      1,725 |
| CMake Cache      |          1 |        927 |          0 |        209 |      1,136 |
| Python           |          5 |        692 |        386 |        107 |      1,185 |
| Ini              |          3 |        123 |          0 |         44 |        167 |
| Log              |         17 |         91 |          0 |         24 |        115 |
| GLSL             |          4 |         65 |          0 |         17 |         82 |
| HTML             |          1 |         65 |          0 |          1 |         66 |
| TypeScript       |         19 |         38 |          0 |         19 |         57 |
| pip requirements |          1 |          2 |          0 |          1 |          3 |
| Shell Script     |          1 |          2 |          4 |          1 |          7 |
| Gradle           |          1 |          1 |          0 |          1 |          2 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |        566 |    240,691 |     33,371 |     50,841 |    324,903 |
| . (Files)                                                                                                                           |          6 |        590 |          0 |        201 |        791 |
| .idea                                                                                                                               |          5 |        610 |          0 |          0 |        610 |
| .roo                                                                                                                                |          4 |        370 |          0 |        103 |        473 |
| .roo/rules-architect                                                                                                                |          1 |        139 |          0 |         34 |        173 |
| .roo/rules-ask                                                                                                                      |          1 |         44 |          0 |         24 |         68 |
| .roo/rules-code                                                                                                                     |          1 |        107 |          0 |         25 |        132 |
| .roo/rules-debug                                                                                                                    |          1 |         80 |          0 |         20 |        100 |
| Testing                                                                                                                             |          1 |          3 |          0 |          1 |          4 |
| Testing/Temporary                                                                                                                   |          1 |          3 |          0 |          1 |          4 |
| backends                                                                                                                            |         11 |      2,439 |        317 |        671 |      3,427 |
| backends/cpu                                                                                                                        |          3 |        817 |         83 |        208 |      1,108 |
| backends/cuda                                                                                                                       |          5 |        728 |        135 |        243 |      1,106 |
| backends/openmp                                                                                                                     |          3 |        894 |         99 |        220 |      1,213 |
| build                                                                                                                               |        168 |    103,560 |        878 |     25,253 |    129,691 |
| build (Files)                                                                                                                       |          6 |      2,900 |        313 |        717 |      3,930 |
| build/.cmake                                                                                                                        |         31 |     11,545 |          0 |         30 |     11,575 |
| build/.cmake/api                                                                                                                    |         31 |     11,545 |          0 |         30 |     11,575 |
| build/.cmake/api/v1                                                                                                                 |         31 |     11,545 |          0 |         30 |     11,575 |
| build/.cmake/api/v1/query                                                                                                           |          1 |          1 |          0 |          0 |          1 |
| build/.cmake/api/v1/query/client-vscode                                                                                             |          1 |          1 |          0 |          0 |          1 |
| build/.cmake/api/v1/reply                                                                                                           |         30 |     11,544 |          0 |         30 |     11,574 |
| build/CMakeFiles                                                                                                                    |         37 |     86,840 |        214 |     23,856 |    110,910 |
| build/CMakeFiles (Files)                                                                                                            |          3 |      1,681 |         62 |         77 |      1,820 |
| build/CMakeFiles/3.28.3                                                                                                             |         15 |     84,819 |        152 |     23,725 |    108,696 |
| build/CMakeFiles/3.28.3 (Files)                                                                                                     |          4 |        193 |          0 |         61 |        254 |
| build/CMakeFiles/3.28.3/CompilerIdC                                                                                                 |          1 |        670 |         61 |        150 |        881 |
| build/CMakeFiles/3.28.3/CompilerIdCUDA                                                                                              |          9 |     83,297 |         28 |     23,366 |    106,691 |
| build/CMakeFiles/3.28.3/CompilerIdCUDA (Files)                                                                                      |          1 |        337 |         28 |        104 |        469 |
| build/CMakeFiles/3.28.3/CompilerIdCUDA/tmp                                                                                          |          8 |     82,960 |          0 |     23,262 |    106,222 |
| build/CMakeFiles/3.28.3/CompilerIdCXX                                                                                               |          1 |        659 |         63 |        148 |        870 |
| build/CMakeFiles/backendlib.dir                                                                                                     |          4 |         32 |          0 |         11 |         43 |
| build/CMakeFiles/dolphin.dir                                                                                                        |          3 |         29 |          0 |         10 |         39 |
| build/CMakeFiles/dolphinlib.dir                                                                                                     |          4 |        194 |          0 |         11 |        205 |
| build/CMakeFiles/imgui_lib.dir                                                                                                      |          4 |         50 |          0 |         11 |         61 |
| build/CMakeFiles/implot3d_lib.dir                                                                                                   |          4 |         35 |          0 |         11 |         46 |
| build/Testing                                                                                                                       |         32 |        660 |          0 |         39 |        699 |
| build/Testing/20251121-1437                                                                                                         |          1 |         34 |          0 |          1 |         35 |
| build/Testing/20251124-0840                                                                                                         |          1 |         34 |          0 |          1 |         35 |
| build/Testing/20251125-1037                                                                                                         |          1 |         34 |          0 |          1 |         35 |
| build/Testing/20251126-0902                                                                                                         |          1 |         34 |          0 |          1 |         35 |
| build/Testing/20251127-1040                                                                                                         |          1 |         34 |          0 |          1 |         35 |
| build/Testing/20251128-0854                                                                                                         |          1 |         34 |          0 |          1 |         35 |
| build/Testing/20251201-0849                                                                                                         |          1 |         34 |          0 |          1 |         35 |
| build/Testing/20251205-0847                                                                                                         |          1 |         34 |          0 |          1 |         35 |
